Time (s),HbO_avg,HbR_avg,Stim?
0.0,-3.3881317890172014e-21,1.1858461261560205e-20,1
0.02,1.7583545104062052e-06,-1.1308607911248309e-06,1
0.04,3.507031736832925e-06,-2.2624622202428254e-06,1
0.06,5.242756898184643e-06,-3.3957339802293744e-06,1
0.08,6.956398640896034e-06,-4.5306772318080506e-06,1
0.1,8.64000617179006e-06,-5.668240019599623e-06,1
0.12,1.0285874848090483e-05,-6.8083374622944315e-06,1
0.14,1.1888040029720714e-05,-7.952000342302387e-06,1
0.16,1.3439349348284402e-05,-9.098997726185604e-06,1
0.18,1.4935335895681732e-05,-1.0249025158985836e-05,1
0.2,1.636778283498638e-05,-1.1401523975199012e-05,1
0.22,1.7732646317530683e-05,-1.2556711082658311e-05,1
0.24,1.9024653141905584e-05,-1.3713751105401097e-05,1
0.26,2.023923824698609e-05,-1.4871031471014322e-05,1
0.28,2.137340080552525e-05,-1.6026594620290274e-05,1
0.3,2.2422946266401177e-05,-1.7179211792470724e-05,1
0.32,2.3385948198236752e-05,-1.8327027330517606e-05,1
0.34,2.4260398103368665e-05,-1.9468287690900668e-05,1
0.36,2.504455824860362e-05,-2.0600448024286906e-05,1
0.38,2.573754098637137e-05,-2.172036155989126e-05,1
0.4,2.6339131451712372e-05,-2.2825587847182254e-05,1
0.42,2.6848728300306162e-05,-2.391217019063091e-05,1
0.44,2.726777319789253e-05,-2.4977058227050292e-05,1
0.46,2.7596939046491402e-05,-2.601608467352364e-05,1
0.48,2.783813410931331e-05,-2.7027186871494465e-05,1
0.5,2.799512667960699e-05,-2.800519303615631e-05,1
0.52,2.807145613728067e-05,-2.894603913570421e-05,1
0.54,2.8067953480944234e-05,-2.9846715302919095e-05,1
0.56,2.799026529630002e-05,-3.0702112217778064e-05,1
0.58,2.7842771185660946e-05,-3.15094601000292e-05,1
0.6,2.7631465510416842e-05,-3.226432767315154e-05,1
0.62,2.735960346432817e-05,-3.296357885099329e-05,1
0.64,2.7033549350345335e-05,-3.3604413540520606e-05,1
0.66,2.665977161626418e-05,-3.418176069972657e-05,1
0.68,2.6244824333116105e-05,-3.4692487476279055e-05,1
0.7000000000000001,2.5792723287472134e-05,-3.513579316294597e-05,1
0.72,2.5312962866528795e-05,-3.550748811846626e-05,1
0.74,2.4810317249402328e-05,-3.580639088425746e-05,1
0.76,2.4291904844880346e-05,-3.6029720955019334e-05,1
0.78,2.376254841502243e-05,-3.6177968756351806e-05,1
0.8,2.3230478101260174e-05,-3.6249884544436935e-05,1
0.8200000000000001,2.2702089186372657e-05,-3.6245626312578165e-05,1
0.84,2.2182273769812374e-05,-3.616423999390551e-05,1
0.86,2.167545247937212e-05,-3.600714684873843e-05,1
0.88,2.1190018051516633e-05,-3.577574081143262e-05,1
0.9,2.073303775969082e-05,-3.54726136805684e-05,1
0.92,2.030697749336985e-05,-3.510002570375729e-05,1
0.9400000000000001,1.991715492481298e-05,-3.466039410994946e-05,1
0.96,1.9568340196470183e-05,-3.415725046050984e-05,1
0.98,1.9264988351295226e-05,-3.359446403053897e-05,1
1.0,1.900920128664812e-05,-3.2976087646780435e-05,1
1.02,1.8804685165436162e-05,-3.2308332723414355e-05,1
1.04,1.8654968754735957e-05,-3.159578745706579e-05,1
1.06,1.8562125123410117e-05,-3.0844787032286935e-05,1
1.08,1.852780613007372e-05,-3.0061375009657722e-05,1
1.1,1.8553782567477034e-05,-2.92527421559322e-05,1
1.12,1.86392349823891e-05,-2.8424720519718807e-05,1
1.1400000000000001,1.8787180230464886e-05,-2.7585646021791164e-05,1
1.16,1.8995022412264153e-05,-2.674177339154478e-05,1
1.18,1.9264373801329012e-05,-2.590009767697805e-05,1
1.2,1.9593591136692964e-05,-2.506899616108657e-05,1
1.22,1.9980067368950284e-05,-2.4255090466215513e-05,1
1.24,2.042229239355155e-05,-2.3466141346926292e-05,1
