Time (s),HbO_avg,HbR_avg,Stim?
0.0,-1.4907779871675686e-19,5.421010862427522e-20,1
0.02,2.6003704147198477e-06,2.8102592226461105e-06,1
0.04,5.180278862591548e-06,5.6086682265838665e-06,1
0.06,7.721034506402905e-06,8.38321139504683e-06,1
0.08,1.0204759458077236e-05,1.1123259475566828e-05,1
0.1,1.2607227823448634e-05,1.3816414704926098e-05,1
0.12,1.4912180142292077e-05,1.6451648583816722e-05,1
0.14,1.7099869020025747e-05,1.901899311603434e-05,1
0.16,1.9154634729256147e-05,2.1508519346586025e-05,1
0.18,2.1060322338552936e-05,2.3908909577366214e-05,1
0.2,2.2801839861313607e-05,2.6210592898411473e-05,1
0.22,2.4364802762983474e-05,2.8406136647569845e-05,1
0.24,2.5736101341337915e-05,3.0485272270565892e-05,1
0.26,2.690286220850912e-05,3.244118023414808e-05,1
0.28,2.785957315794672e-05,3.426737939254981e-05,1
0.3,2.8596839296939167e-05,3.5959333764782846e-05,1
0.32,2.9105113276702044e-05,3.7510238329134136e-05,1
0.34,2.9380750779625637e-05,3.8915398430298956e-05,1
0.36,2.941778823040462e-05,4.0170851060513285e-05,1
0.38,2.9215877762832658e-05,4.127273603785131e-05,1
0.4,2.8774546009673956e-05,4.222009220812689e-05,1
0.42,2.8093954064443147e-05,4.301150811509926e-05,1
0.44,2.717755988941226e-05,4.3645427133105476e-05,1
0.46,2.6029778737515178e-05,4.4122450155752594e-05,1
0.48,2.4657129907355e-05,4.4444899716713157e-05,1
0.5,2.3066092601472686e-05,4.461298127537389e-05,1
0.52,2.1266765793509615e-05,4.4629834001655235e-05,1
0.54,1.9270770446186338e-05,4.449970671333912e-05,1
0.56,1.708778190817324e-05,4.4226091040005754e-05,1
0.58,1.4733403480400847e-05,4.381572573886466e-05,1
0.6,1.2218726252076324e-05,4.327185709130784e-05,1
0.62,9.560517993031426e-06,4.260119205327848e-05,1
0.64,6.774897283280974e-06,4.1812822132218733e-05,1
0.66,3.8787482666952745e-06,4.0911356911783414e-05,1
0.68,8.899225110849216e-07,3.9903919280424895e-05,1
0.7000000000000001,-2.1735073957104432e-06,3.8801812356327114e-05,1
0.72,-5.293609393872934e-06,3.761256778215481e-05,1
0.74,-8.450713242355533e-06,3.6343333164339176e-05,1
0.76,-1.1626127852148112e-05,3.500560543593169e-05,1
