Time (s),HbO_avg,HbR_avg,Stim?
0.0,-4.2351647362715017e-20,6.098637220230962e-20,1
0.02,1.87930161582921e-06,-5.199069539103224e-07,1
0.04,3.765090036167159e-06,-1.0384350298501077e-06,1
0.06,5.663924102506131e-06,-1.5548432444863279e-06,1
0.08,7.5799393398363965e-06,-2.0685166621095064e-06,1
0.1,9.51332382247583e-06,-2.5781985535524614e-06,1
0.12,1.1466100476021097e-05,-3.0825678568768403e-06,1
0.14,1.3444306733586019e-05,-3.581514668066962e-06,1
0.16,1.545303557037364e-05,-4.075779031779223e-06,1
0.18,1.749295747978813e-05,-4.564969049171309e-06,1
0.2,1.9562795622698197e-05,-5.0470214908491064e-06,1
0.22,2.1664746373513593e-05,-5.520141937488313e-06,1
0.24,2.3802140944065677e-05,-5.984359400586624e-06,1
0.26,2.597386079243668e-05,-6.4403035290246e-06,1
0.28,2.817650387974033e-05,-6.887254059253841e-06,1
0.3,3.0408999060728952e-05,-7.323650786867278e-06,1
0.32,3.267069583371309e-05,-7.748868104366792e-06,1
0.34,3.495747915282526e-05,-8.163322180199775e-06,1
0.36,3.726268758673714e-05,-8.567313992710636e-06,1
0.38,3.9579892777695516e-05,-8.960641065014982e-06,1
0.4,4.190288696579643e-05,-9.34301333416898e-06,1
0.42,4.4225417182472694e-05,-9.714014527186202e-06,1
0.44,4.654063351793336e-05,-1.0073089171536156e-05,1
0.46,4.884240100340084e-05,-1.0420262578583363e-05,1
0.48,5.112011886720162e-05,-1.0756512687818782e-05,1
0.5,5.3358817668207475e-05,-1.1082785186606477e-05,1
0.52,5.554887768110586e-05,-1.1399052313972524e-05,1
0.54,5.768463262886626e-05,-1.1704893160602418e-05,1
0.56,5.975812617373793e-05,-1.2000376905216085e-05,1
0.58,6.175413950486926e-05,-1.2285789318011256e-05,1
0.6,6.365878590173587e-05,-1.2561040154811986e-05,1
0.62,6.546374402243374e-05,-1.2825994603227179e-05,1
0.64,6.716079097437229e-05,-1.308108492223816e-05,1
0.66,6.873761760344183e-05,-1.3327065017814816e-05,1
0.68,7.018176737421144e-05,-1.3564403432011231e-05,1
0.7000000000000001,7.148537794990001e-05,-1.3793201355838925e-05,1
0.72,7.26426558596113e-05,-1.4013443627817607e-05,1
0.74,7.364420874081469e-05,-1.422500783055738e-05,1
0.76,7.448015341688082e-05,-1.4427795713023957e-05,1
0.78,7.51443185897853e-05,-1.4622250781319952e-05,1
0.8,7.563050203141707e-05,-1.480936118079731e-05,1
0.8200000000000001,7.593128126204282e-05,-1.498966911453826e-05,1
0.84,7.604122827561664e-05,-1.5162506627216651e-05,1
0.86,7.595816422889114e-05,-1.5326681339828563e-05,1
0.88,7.568179967683229e-05,-1.548195545652496e-05,1
0.9,7.521213167042588e-05,-1.56292740532973e-05,1
0.92,7.455153690996835e-05,-1.5769338648183e-05,1
0.9400000000000001,7.370492754705748e-05,-1.5901627303572015e-05,1
0.96,7.267622377508918e-05,-1.6025246411741326e-05,1
0.98,7.146592612510534e-05,-1.6140262773431068e-05,1
1.0,7.00773371685103e-05,-1.6247346280981383e-05,1
1.02,6.852114427949879e-05,-1.634616531864248e-05,1
1.04,6.680963077602218e-05,-1.643506462771551e-05,1
1.06,6.494976506440386e-05,-1.65126810160539e-05,1
1.08,6.294736360814876e-05,-1.6579017530048073e-05,1
1.1,6.0814397588964726e-05,-1.6634308422718555e-05,1
1.12,5.856740631161211e-05,-1.6677657637872693e-05,1
1.1400000000000001,5.622302676208024e-05,-1.670773618570796e-05,1
1.16,5.379625236516449e-05,-1.6724245035268132e-05,1
1.18,5.130280564371155e-05,-1.672740727636157e-05,1
1.2,4.875801286161643e-05,-1.6716283204347693e-05,1
1.22,4.617773045885412e-05,-1.6689011651859418e-05,1
1.24,4.358106399848284e-05,-1.6644790595870832e-05,1
1.26,4.098875317984211e-05,-1.6584420374330288e-05,1
1.28,3.841796298540868e-05,-1.6508202634103045e-05,1
1.3,3.5879348790081615e-05,-1.641438739116769e-05,1
1.32,3.338713135421902e-05,-1.6300710865213173e-05,1
1.34,3.096281738914749e-05,-1.616661269643243e-05,1
1.36,2.8629133618365646e-05,-1.6012969892115696e-05,1
1.3800000000000001,2.6403819556514285e-05,-1.5839964257133557e-05,1
1.4000000000000001,2.4297573289024883e-05,-1.5646479220708294e-05,1
1.42,2.232118407287968e-05,-1.543153511162328e-05,1
1.44,2.0489131452833258e-05,-1.519506396702033e-05,1
1.46,1.881590274053999e-05,-1.493708071879332e-05,1
1.48,1.7313761151948363e-05,-1.465711833167652e-05,1
1.5,1.599259231434674e-05,-1.4354924734067318e-05,1
1.52,1.4860446480727149e-05,-1.4030862708550613e-05,1
1.54,1.3923851998994886e-05,-1.3685335997869374e-05,1
1.56,1.3189213451581507e-05,-1.331858403443915e-05,1
1.58,1.2662957596414692e-05,-1.293131943581637e-05,1
1.6,1.234903229603477e-05,-1.2524682038161504e-05,1
1.62,1.22475513200702e-05,-1.2099226858530817e-05,1
1.6400000000000001,1.2356890861291811e-05,-1.16548271867088e-05,1
1.6600000000000001,1.2676150675894262e-05,-1.119208237088379e-05,1
1.68,1.3203171493365089e-05,-1.0712950541147893e-05,1
1.7,1.3932278529556596e-05,-1.0219269296230736e-05,1
1.72,1.4855427722088105e-05,-9.711445230456572e-06,1
1.74,1.596465908686546e-05,-9.189321319924262e-06,1
1.76,1.7251337004903355e-05,-8.653950310142364e-06,1
1.78,1.8702707240492365e-05,-8.107892081639736e-06,1
1.8,2.030357829653984e-05,-7.553890628229521e-06,1
1.82,2.2040961337860898e-05,-6.9938308171862195e-06,1
1.84,2.3903407143161326e-05,-6.429027408366684e-06,1
1.86,2.5876893067107253e-05,-5.860919944500219e-06,1
1.8800000000000001,2.794317723038382e-05,-5.2913277111608565e-06,1
1.9000000000000001,3.008349881547643e-05,-4.722262482149917e-06,1
1.92,3.2281229176031144e-05,-4.1557201760477305e-06,1
1.94,3.451962653661197e-05,-3.5935961195021607e-06,1
1.96,3.67798197638338e-05,-3.0377263818268672e-06,1
1.98,3.904110079614982e-05,-2.4901467182515548e-06,1
2.0,4.128252238494593e-05,-1.9532709591822135e-06,1
2.02,4.3485137690864245e-05,-1.4295527911330572e-06,1
2.04,4.563160290403846e-05,-9.207845990018731e-07,1
2.06,4.7705471951855267e-05,-4.279219941819102e-07,1
2.08,4.9688697235897466e-05,4.8065562188399425e-08,1
2.1,5.156139630327918e-05,5.051928218124519e-07,1
2.12,5.3306969247871864e-05,9.407085884489753e-07,1
2.14,5.4912580932033766e-05,1.3524495807218938e-06,1
2.16,5.6365127437990777e-05,1.7395166154955412e-06,1
2.18,5.7650440825397173e-05,2.101378256783478e-06,1
2.2,5.8756831796015195e-05,2.436738652987278e-06,1
2.22,5.9676978649727394e-05,2.743877313836014e-06,1
2.24,6.040326783560416e-05,3.021769315430171e-06,1
2.2600000000000002,6.092700730980468e-05,3.2701191649310077e-06,1
2.2800000000000002,6.124296707348578e-05,3.488589952244174e-06,1
2.3000000000000003,6.134667173692993e-05,3.676713311378819e-06,1
2.32,6.123596917741449e-05,3.8345294290436715e-06,1
2.34,6.0908380689783754e-05,3.962389328148182e-06,1
2.36,6.0363732151584495e-05,4.0602094729005165e-06,1
2.38,5.9606093260394116e-05,4.1277068792243786e-06,1
2.4,5.864149286327512e-05,4.165358889599181e-06,1
2.42,5.7476639201751116e-05,4.174425586366716e-06,1
2.44,5.611815427214873e-05,4.1560156340575045e-06,1
2.46,5.4574976408061e-05,4.111006917655331e-06,1
2.48,5.28577535238211e-05,4.040587898359761e-06,1
2.5,5.0981371003158606e-05,3.946054349971919e-06,1
2.52,4.8960782688626224e-05,3.828411171864815e-06,1
2.54,4.680554084941935e-05,3.6891020351219192e-06,1
2.56,4.4524797493685316e-05,3.5307224513875897e-06,1
2.58,4.2136065915096844e-05,3.3559737438979065e-06,1
2.6,3.966167227074751e-05,3.1662457843789138e-06,1
2.62,3.712133286592699e-05,2.9623367612735826e-06,1
2.64,3.4531228413606224e-05,2.746245296335153e-06,1
2.66,3.1908898870674826e-05,2.521416466727937e-06,1
2.68,2.927521091774041e-05,2.291238854993269e-06,1
2.7,2.6649628359260415e-05,2.057884065918522e-06,1
2.72,2.4048744455269614e-05,1.8224938683630063e-06,1
2.74,2.1490324371678625e-05,1.5863093125578968e-06,1
2.7600000000000002,1.8994313898544793e-05,1.3517993921593208e-06,1
2.7800000000000002,1.6578872277128413e-05,1.122601234431482e-06,1
2.8000000000000003,1.4258748354794936e-05,9.020834903866945e-07,1
2.82,1.2047980141213334e-05,6.920089343378348e-07,1
2.84,9.961744231699834e-06,4.929378282198978e-07,1
2.86,8.015549863175585e-06,3.0579734413756344e-07,1
2.88,6.222434772423063e-06,1.3263437894870167e-07,1
2.9,4.593712670106867e-06,-2.3749156690111934e-08,1
2.92,3.140506803856086e-06,-1.6069409197610537e-07,1
2.94,1.8730456095879254e-06,-2.7671885054315036e-07,1
2.96,7.99988007870825e-07,-3.7161447376263316e-07,1
2.98,-7.249422795991752e-08,-4.4498325397606073e-07,1
3.0,-7.414357894600239e-07,-4.950568576195981e-07,1
3.02,-1.2061114608238283e-06,-5.199021981315167e-07,1
3.04,-1.4654411702470607e-06,-5.192568965539906e-07,1
3.06,-1.5175991029838165e-06,-4.938353085158871e-07,1
3.08,-1.361940142002949e-06,-4.434567515727082e-07,1
3.1,-1.001330491834255e-06,-3.674029133915028e-07,1
3.12,-4.418866892653815e-07,-2.6605638113862535e-07,1
3.14,3.086985317897989e-07,-1.4027369145203408e-07,1
3.16,1.2406948188322402e-06,1.0398576627079518e-08,1
3.18,2.343416658414534e-06,1.867291336280842e-07,1
3.2,3.6084200364187213e-06,3.873132852948618e-07,1
3.22,5.0289945532137145e-06,6.091954589637569e-07,1
3.24,6.596050818475613e-06,8.507336633579493e-07,1
3.2600000000000002,8.293948104904563e-06,1.1120684163069085e-06,1
3.2800000000000002,1.0103079251316689e-05,1.3926993564250064e-06,1
3.3000000000000003,1.2008562948591393e-05,1.6904407572246995e-06,1
3.3200000000000003,1.3999494777490272e-05,2.002910354667616e-06,1
3.34,1.6062803725784395e-05,2.328434208180097e-06,1
3.36,1.8180367788386093e-05,2.6652821079127645e-06,1
3.38,2.0332362501320144e-05,3.011346436406818e-06,1
3.4,2.2501501695786525e-05,3.3648402251696235e-06,1
3.42,2.4671783787389946e-05,3.7242530618921213e-06,1
3.44,2.682583136115045e-05,4.087448270352445e-06,1
3.46,2.894600357709803e-05,4.45167511582294e-06,1
3.48,3.101770426668357e-05,4.814678809061365e-06,1
3.5,3.302909126887725e-05,5.175125425782911e-06,1
3.52,3.496837227417972e-05,5.531538090312383e-06,1
3.54,3.6821770529244974e-05,5.88145698719228e-06,1
3.56,3.857461701066316e-05,6.222042811883515e-06,1
3.58,4.021400589500912e-05,6.551544617769222e-06,1
3.6,4.172837837376574e-05,6.869537046659522e-06,1
3.62,4.310641553418221e-05,7.17529628851399e-06,1
3.64,4.4338504755833574e-05,7.4667984715003384e-06,1
3.66,4.5419993202382486e-05,7.74177635281864e-06,1
3.68,4.63476816053735e-05,7.999383367964631e-06,1
3.7,4.711564222394949e-05,8.239718873399437e-06,1
3.72,4.771648304260317e-05,8.46192262578961e-06,1
3.74,4.814609380755376e-05,8.664180933291355e-06,1
3.7600000000000002,4.840430396701599e-05,8.84573095521041e-06,1
3.7800000000000002,4.8490940147391515e-05,9.007390468964652e-06,1
3.8000000000000003,4.840753102673933e-05,9.149774422732674e-06,1
3.8200000000000003,4.8159438286749786e-05,9.272258711135897e-06,1
3.84,4.77525772073886e-05,9.374367975275371e-06,1
3.86,4.718886782090601e-05,9.457232541060265e-06,1
3.88,4.6467280963052426e-05,9.52274291292768e-06,1
3.9,4.559107867588019e-05,9.571878952331566e-06,1
3.92,4.457189723849551e-05,9.60461996980909e-06,1
3.94,4.3425449725172675e-05,9.621262078414197e-06,1
3.96,4.2163995826622636e-05,9.62323914137615e-06,1
3.98,4.079453254090191e-05,9.61243180507167e-06,1
4.0,3.9323865389437854e-05,9.590220627076829e-06,1
4.0200000000000005,3.7762887600080154e-05,9.557681822424302e-06,1
4.04,3.612392812903465e-05,9.51652355231161e-06,1
4.0600000000000005,3.441591978573357e-05,9.469141663875065e-06,1
4.08,3.264745855526242e-05,9.417654143931735e-06,1
4.1,3.0831712347965015e-05,9.36342780315684e-06,1
4.12,2.8985304653788807e-05,9.30774481226073e-06,1
4.14,2.7122124442424202e-05,9.252410276834808e-06,1
4.16,2.5249796770374106e-05,9.199435441750235e-06,1
4.18,2.3375339031905583e-05,9.150637034525156e-06,1
4.2,2.15101076921149e-05,9.1078047200235e-06,1
4.22,1.9665682871453064e-05,9.072817527228755e-06,1
4.24,1.7850347795424398e-05,9.04728052304843e-06,1
4.26,1.6072237349555982e-05,9.032314217923312e-06,1
4.28,1.4341277412498941e-05,9.028835767606559e-06,1
4.3,1.2665721799527845e-05,9.038082597425712e-06,1
4.32,1.1049916816418882e-05,9.061703600073439e-06,1
4.34,9.497962595531158e-06,9.10140433670244e-06,1
4.36,8.018906280783709e-06,9.15823925357958e-06,1
4.38,6.622213402854068e-06,9.232115218246997e-06,1
4.4,5.310437513162115e-06,9.322485388851535e-06,1
4.42,4.079399909947334e-06,9.42949757462747e-06,1
4.44,2.92850088402243e-06,9.554134984457345e-06,1
4.46,1.863215353051538e-06,9.697229102422203e-06,1
4.48,8.885901262420128e-07,9.85843469367323e-06,1
4.5,4.544714740702056e-09,1.0036386713736232e-05,1
4.5200000000000005,-7.927213655742051e-07,1.0229849197412447e-05,1
4.54,-1.5060412117527166e-06,1.0438326786679049e-05,1
4.5600000000000005,-2.1369224366321397e-06,1.0661419803989965e-05,1
4.58,-2.6879415861460683e-06,1.089806015562429e-05,1
4.6000000000000005,-3.1637620008479235e-06,1.1146815679655805e-05,1
4.62,-3.568365952075138e-06,1.1406687301398417e-05,1
4.64,-3.903744212074118e-06,1.1676805608370457e-05,1
4.66,-4.171987799178787e-06,1.1955339913017116e-05,1
4.68,-4.378857876817404e-06,1.2239778473526646e-05,1
4.7,-4.53395144776534e-06,1.252842595766075e-05,1
4.72,-4.6449599078243536e-06,1.2820619654907527e-05,1
4.74,-4.715958377217123e-06,1.3115044941924889e-05,1
4.76,-4.749795436685789e-06,1.3408722050677195e-05,1
4.78,-4.749236183742177e-06,1.369852745354444e-05,1
4.8,-4.717865290839967e-06,1.3982992445811109e-05,1
4.82,-4.662293717663688e-06,1.426158213343928e-05,1
4.84,-4.591168326037293e-06,1.4532838181147121e-05,1
4.86,-4.5102104881620064e-06,1.4794253136267692e-05,1
4.88,-4.4186534408476956e-06,1.504386934313577e-05,1
4.9,-4.315431053549232e-06,1.5280696278676987e-05,1
4.92,-4.2058083040006845e-06,1.5503447367826378e-05,1
4.94,-4.098093515872005e-06,1.57100861481399e-05,1
4.96,-3.994936622878095e-06,1.5899070132378476e-05,1
4.98,-3.89411417943421e-06,1.6069943049871387e-05,1
5.0,-3.797881222005212e-06,1.6222187109589875e-05,1
5.0200000000000005,-3.712477266610852e-06,1.63544579053162e-05,1
5.04,-3.63665079187327e-06,1.646555406458549e-05,1
5.0600000000000005,-3.5637226118133137e-06,1.655508050121397e-05,1
5.08,-3.4919963918594275e-06,1.6622813684735887e-05,1
5.1000000000000005,-3.4290643212452838e-06,1.6668386721327518e-05,1
5.12,-3.376215579166534e-06,1.669200383169832e-05,1
5.14,-3.3250543729526772e-06,1.6694537972228376e-05,1
5.16,-3.2685233782504135e-06,1.6676631442974745e-05,1
5.18,-3.210729635948509e-06,1.663849039204792e-05,1
5.2,-3.157288146879995e-06,1.658061476514393e-05,1
5.22,-3.1015653008360054e-06,1.6503881076072142e-05,1
5.24,-3.0325243847972474e-06,1.6409135256476658e-05,1
5.26,-2.9452640256109304e-06,1.6297603945633992e-05,1
5.28,-2.8425331320538554e-06,1.617138418845656e-05,1
5.3,-2.7238681892381014e-06,1.6032624376606263e-05,1
5.32,-2.5818747424923064e-06,1.588251831169035e-05,1
5.34,-2.410802954175862e-06,1.5721968650681978e-05,1
5.36,-2.210353188302999e-06,1.55524666788674e-05,1
